City_Regency,Subdistrict,Total Population
Jembrana,Melaya," 61,494 "
Jembrana,Negara," 95,739 "
Jembrana,Jembrana," 61,812 "
Jembrana,Mendoyo," 67,536 "
Jembrana,Pekutatan," 30,483 "
Tabanan,Selemadeg Barat," 21,874 "
Tabanan,Selemadeg Timur," 23,826 "
Tabanan,Selemadeg," 21,079 "
Tabanan,Kerambitan," 41,766 "
Tabanan,Tabanan," 76,235 "
Tabanan,Kediri," 90,491 "
Tabanan,Marga," 42,898 "
Tabanan,Baturiti," 51,381 "
Tabanan,Penebel," 49,637 "
Tabanan,Pupuan," 42,443 "
Badung,Kuta Selatan," 131,139 "
Badung,Kuta," 59,160 "
Badung,Kuta Utara," 95,189 "
Badung,Mengwi," 132,786 "
Badung,Abiansemal," 98,094 "
Badung,Petang," 31,013 "
Gianyar,Sukawati," 119,975 "
Gianyar,Blahbatuh," 74,093 "
Gianyar,Gianyar," 101,444 "
Gianyar,Tampaksiring," 50,864 "
Gianyar,Ubud," 71,568 "
Gianyar,Tegallalang," 52,257 "
Gianyar,Payangan," 45,143 "
Klungkung,Nusa Penida," 57,370 "
Klungkung,Banjarangkan," 44,431 "
Klungkung,Klungkung," 64,235 "
Klungkung,Dawan," 40,889 "
Bangli,Susut," 48,682 "
Bangli,Bangli," 54,438 "
Bangli,Tembuku," 43,138 "
Bangli,Kintamani," 112,463 "
Karangasem,Rendang," 41,782 "
Karangasem,Sidemen," 37,045 "
Karangasem,Manggis," 54,608 "
Karangasem,Karangasem," 100,036 "
Karangasem,Abang," 80,345 "
Karangasem,Bebandem," 54,941 "
Karangasem,Selat," 44,284 "
Karangasem,Kubu," 79,361 "
Buleleng,Gerokgak," 97,552 "
Buleleng,Seririt," 93,412 "
Buleleng,Busungbiu," 52,690 "
Buleleng,Banjar," 86,205 "
Buleleng,Sukasada," 89,774 "
Buleleng,Buleleng," 150,211 "
Buleleng,Sawan," 80,174 "
Buleleng,Kubutambahan," 68,778 "
Buleleng,Tejakula," 73,017 "
Denpasar,Denpasar Selatan," 217,100 "
Denpasar,Denpasar Timur," 128,276 "
Denpasar,Denpasar Barat," 206,958 "
Denpasar,Denpasar Utara," 172,980 "
