City_Regency	Subdistrict	Total Population
Jembrana	Melaya	61494
Jembrana	Negara	95739
Jembrana	Jembrana	61812
Jembrana	Mendoyo	67536
Jembrana	Pekutatan	30483
Tabanan	Selemadeg Barat	21874
Tabanan	Selemadeg Timur	23826
Tabanan	Selemadeg	21079
Tabanan	Kerambitan	41766
Tabanan	Tabanan	76235
Tabanan	Kediri	90491
Tabanan	Marga	42898
Tabanan	Baturiti	51381
Tabanan	Penebel	49637
Tabanan	Pupuan	42443
Badung	Kuta Selatan	131139
Badung	Kuta	59160
Badung	Kuta Utara	95189
Badung	Mengwi	132786
Badung	Abiansemal	98094
Badung	Petang	31013
Gianyar	Sukawati	119975
Gianyar	Blahbatuh	74093
Gianyar	Gianyar	101444
Gianyar	Tampaksiring	50864
Gianyar	Ubud	71568
Gianyar	Tegallalang	52257
Gianyar	Payangan	45143
Klungkung	Nusa Penida	57370
Klungkung	Banjarangkan	44431
Klungkung	Klungkung	64235
Klungkung	Dawan	40889
Bangli	Susut	48682
Bangli	Bangli	54438
Bangli	Tembuku	43138
Bangli	Kintamani	112463
Karangasem	Rendang	41782
Karangasem	Sidemen	37045
Karangasem	Manggis	54608
Karangasem	Karangasem	100036
Karangasem	Abang	80345
Karangasem	Bebandem	54941
Karangasem	Selat	44284
Karangasem	Kubu	79361
Buleleng	Gerokgak	97552
Buleleng	Seririt	93412
Buleleng	Busungbiu	52690
Buleleng	Banjar	86205
Buleleng	Sukasada	89774
Buleleng	Buleleng	150211
Buleleng	Sawan	80174
Buleleng	Kubutambahan	68778
Buleleng	Tejakula	73017
Denpasar	Denpasar Selatan	217100
Denpasar	Denpasar Timur	128276
Denpasar	Denpasar Barat	206958
Denpasar	Denpasar Utara	172980
