id,name,area,price_idr,lat,lon
1,Villa Sunset Seminyak,Seminyak,8000000,-8.6905,115.1594
2,Rumah Hijau Denpasar,Denpasar,3500000,-8.6705,115.2126
3,Kost Modern Renon,Denpasar,2500000,-8.6748,115.2192
4,Rumah Asri Ubud,Ubud,5000000,-8.5069,115.2625
5,Vila Damai Canggu,Canggu,7500000,-8.6478,115.1385
6,Hunian Nyaman Kuta,Kuta,6000000,-8.719,115.1723
7,Rumah Sejuk Bedugul,Bedugul,3000000,-8.2748,115.1669
8,Kost Strategis Gatsu,Denpasar,1800000,-8.6612,115.205
9,Rumah Baru Sanur,Sanur,5500000,-8.7031,115.2621
10,Vila Murah Jimbaran,Jimbaran,4500000,-8.7863,115.1614
11,Kost Dekat Kampus Sudirman,Denpasar,1500000,-8.658,115.2193
12,Rumah Asri Peguyangan,Denpasar,3200000,-8.6201,115.2105
13,Vila Nyaman Nusa Dua,Nusa Dua,9000000,-8.8006,115.2317
14,Rumah Minimalis Sesetan,Denpasar,2800000,-8.6923,115.2134
15,Kost Eksklusif Teuku Umar,Denpasar,3800000,-8.6634,115.2241
16,Rumah Strategis Tohpati,Denpasar,2200000,-8.6502,115.2389
17,Vila Hijau Petang,Petang,2000000,-8.4521,115.1876
18,Rumah Cantik Seminyak,Seminyak,9500000,-8.6889,115.1612
19,Kost Nyaman Pemecutan,Denpasar,1600000,-8.6634,115.2089
20,Vila Elegan Canggu,Canggu,12000000,-8.6432,115.1342
21,Rumah Teduh Ubud,Ubud,4500000,-8.5123,115.2589
22,Kost Bersih Kerobokan,Kerobokan,2800000,-8.6712,115.1689
23,Vila Modern Seminyak,Seminyak,11000000,-8.6923,115.1623
24,Rumah Sejahtera Gianyar,Gianyar,2500000,-8.5423,115.3312
25,Kost Pusat Kota Denpasar,Denpasar,2000000,-8.6598,115.2178
26,Vila Damai Sanur,Sanur,7000000,-8.6989,115.2634
27,Rumah Indah Tabanan,Tabanan,2200000,-8.5412,115.1289
28,Kost Mahasiswa Sudirman,Denpasar,1200000,-8.6567,115.2156
29,Vila Mewah Nusa Dua,Nusa Dua,15000000,-8.7989,115.2289
30,Rumah Asri Kerobokan,Kerobokan,4200000,-8.6723,115.1712
31,Kost Premium Renon,Denpasar,3500000,-8.6756,115.2212
32,Vila Pantai Legian,Legian,8500000,-8.7037,115.1653
33,Rumah Nyaman Mengwi,Mengwi,2000000,-8.5589,115.1734
34,Kost Murah Tonja,Denpasar,1300000,-8.6423,115.2234
35,Vila Sejuk Kintamani,Kintamani,3500000,-8.2312,115.3123
36,Rumah Modern Sanur,Sanur,6000000,-8.7045,115.2612
37,Kost Strategis Teuku Umar,Denpasar,2500000,-8.6645,115.2256
38,Vila Romantis Ubud,Ubud,8000000,-8.5034,115.2645
39,Rumah Keluarga Abiansemal,Abiansemal,1800000,-8.5378,115.2034
40,Kost Baru Pemogan,Denpasar,1400000,-8.7012,115.2145
41,Vila Eksotis Nusa Penida,Nusa Penida,6000000,-8.7289,115.5423
42,Rumah Asri Blahkiuh,Abiansemal,1500000,-8.5234,115.2112
43,Kost Dekat RS Sanglah,Denpasar,2200000,-8.6812,115.2134
44,Vila Bukit Jimbaran,Jimbaran,10000000,-8.7934,115.1712
45,Rumah Luas Sukawati,Sukawati,2000000,-8.5934,115.2934
46,Kost Eksklusif Renon,Denpasar,4000000,-8.6734,115.2223
47,Vila Hillside Munduk,Munduk,4000000,-8.2634,115.1423
48,Rumah Minimalis Kuta,Kuta,5000000,-8.7189,115.1712
49,Kost Strategis Gatot Subroto,Denpasar,1900000,-8.6623,115.2089
50,Vila Sawah Tegallalang,Tegallalang,5500000,-8.4423,115.2823
51,Rumah Asri Padangbai,Karangasem,2500000,-8.5312,115.5089
52,Kost Mahasiswa Jimbaran,Jimbaran,1800000,-8.7823,115.1645
53,Vila Tepi Pantai Canggu,Canggu,14000000,-8.6412,115.1312
54,Rumah Sejuk Payangan,Payangan,2000000,-8.4534,115.2423
55,Kost Nyaman Kesiman,Denpasar,1700000,-8.6634,115.2378
56,Vila Modern Seminyak,Seminyak,10500000,-8.6878,115.1578
57,Rumah Keluarga Negara,Negara,1800000,-8.3623,114.6234
